0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
45.0,45.00386928981619,45.00773857963238,45.01160812037484,45.01547866482238,45.019351718165396,45.023229787096064,45.02711662523311,45.031017471256,45.0349392744276,45.03889090035425,45.04288330808727,45.04692968835016,45.05104555223216,45.05524876067807,45.05955948811279,45.064000119077406,45.068595085097485,45.07337066003026,45.07835474521138,45.083576689706135,45.08906720441797,45.09485844031428,45.10098430964448,45.10748113458029,45.11438871096777,45.12175187762496,45.129622686889185,45.13806328481966,45.14714963737857,45.156976293982545,45.16766247966416,45.179359977415785,45.19226354186989,45.20662503720071,45.22277322657534,45.24114236373767,45.2623148491791,45.28708701705594,45.316574295607225,45.3523862308859,45.396931802945836,45.45398257193909,45.52978299710231,45.6354202703661,45.79237183339292,46.04690362645182,46.511725906612966,47.50000000000001,50.0
45.0,45.007738579632374,45.015476908338485,45.0232152370446,45.03095482074927,45.03869842074309,45.04645080498571,45.05421924258042,45.06201398536328,45.06984872610016,45.07774101890212,45.08571264364466,45.0937898930812,45.10200375990041,45.11039000236731,45.11898907269564,45.12784590309936,45.137009561282284,45.14653280981216,45.15647163110917,45.166884809195196,45.177833687651464,45.189382247194686,45.20159766368331,45.21455151770893,45.228321831665845,45.24299611264287,45.25867558511212,45.27548081501092,45.29355897071207,45.313093058887446,45.33431364725828,45.35751388812927,45.38306915286305,45.41146338035759,45.44332550536302,45.47948137919626,45.52103001592277,45.56945892343745,45.62682393448701,45.69603882499054,45.78135840895834,45.88921548770823,46.02972914610403,46.21952625096908,46.48716343675375,46.88351676580141,47.500000000000014,48.488274093387055,50.0
45.0,45.01160812037484,45.023215237044596,45.034821098715796,45.04642696038698,45.058036339072004,45.06965576952323,45.08129555473961,45.092970501516476,45.10470062570766,45.116511805509354,45.12843635450804,45.14051348042961,45.15278959192097,45.16531841619514,45.17816089720307,45.191384859342065,45.205064447120115,45.21927938682693,45.23411416021791,45.249657228314014,45.26600048979798,45.28323919712971,45.30147258018517,45.320805440906184,45.34135098534381,45.363235156168564,45.3866027259055,45.41162541939985,45.43851237157133,45.467523323596915,45.498985162352206,45.533312774979926,45.57103580109547,45.61283382600356,45.659584035322894,45.71242763176157,45.77286491187827,45.84289472628409,45.92522369391283,46.023586725630906,46.143247520188766,46.29179182383145,46.48039184863651,46.725792150652445,47.05323889685157,47.500000000000036,48.11648323419864,48.953096373548206,50.0
45.0,45.01547866482237,45.03095482074926,45.04642696038698,45.061895583010845,45.07736420563471,45.092840379295595,45.10833670533835,45.12387184025539,45.13947146970464,45.15516922291961,45.17100748844854,45.18703808220823,45.20332271115873,45.219933173289206,45.236951240579394,45.25446818994567,45.27258398102918,45.291406130157554,45.31104839462156,45.33162945404497,45.35327184609675,45.37610147134101,45.40024801902142,45.425846680386876,45.45304151263464,45.481990800782086,45.51287474294146,45.545905765111634,45.58134177257648,45.61950270157668,45.66079090357372,45.70571624834275,45.75492745053534,45.8092520872383,45.8697491781634,45.937780200648874,46.01510727354464,46.10403137590783,46.2075893892493,46.32983686343152,46.476253122334356,46.65431243879232,46.874254273958094,47.15001160615266,47.50000000000004,47.9467611031485,48.51283656324631,49.20762816660712,50.0
45.0,45.01935171816538,45.03869842074309,45.058036339072004,45.07736420563471,45.09668452116039,45.11600483668607,45.13533904706284,45.15470868446208,45.17414418993588,45.19368612801593,45.21338629415824,45.23330864879608,45.253529997216475,45.27414032522359,45.29524270187964,45.316952678832024,45.339397156893384,45.36271275815254,45.38704383406581,45.412540347147555,45.439355969203056,45.467646823116134,45.497571344172634,45.52929174898524,45.562977584025816,45.59881179138364,45.636999679966635,45.67778112552875,45.721446252046256,45.76835480655964,45.818959502023276,45.873833864282034,45.93370566546487,45.99949789425088,46.07238038944355,46.153836719125856,46.245752605743604,46.3505341145533,46.471265623745026,46.6119182165115,46.77761566692487,46.97495053504538,47.21230120225089,47.50000000000004,47.849988393847426,48.27420784934762,48.780473749030975,49.36457972963396,50.0
45.0,45.02322978709604,45.04645080498571,45.06965576952324,45.092840379295595,45.11600483668607,45.13915539922546,45.162305961764844,45.18547966059419,45.20871047756089,45.23204480504998,45.255542911372395,45.279280221601354,45.30334830368749,45.32785542850904,45.35292656288353,45.3787026666094,45.4053392095598,45.43300391149337,45.46187383634158,45.4921321312764,45.523964860451734,45.557558507747814,45.59309878556773,45.63077138735561,45.670765283099726,45.713279100760005,45.75853106001269,45.80677280499047,45.858307303520135,45.9135107705923,45.97285843367771,46.036954041297236,46.10656345279125,46.182653434856775,46.26643776623408,46.359433680667394,46.46353231575063,46.581086852816675,46.715020774666,46.868954711944546,47.047340793808296,47.255572832213474,47.500000000000085,47.78769879774923,48.125745726042,48.51960815136357,48.970270853896025,49.47021700289773,50.0
45.0,45.02711662523313,45.05421924258045,45.081295554739626,45.108336705338345,45.13533904706283,45.162305961764844,45.189249740176905,45.216193518588945,45.24317325466352,45.27023970325072,45.29746032468001,45.324921022549475,45.35272756742305,45.38100652224155,45.40990545453605,45.439592215162264,45.470253103243024,45.50208984191957,45.53531546853073,45.57014948116473,45.606812833579674,45.64552356185566,45.68649390299488,45.72992973176976,45.776033060257475,45.825008268543954,45.87707265433367,45.932471730900296,45.99149938645148,46.05452253861176,46.12200942079802,46.19456041443795,46.27294066954608,46.3581146261509,46.45128355996859,46.553927921559016,46.66785612377485,46.79526020629678,46.93877591015776,47.10153906279241,47.28721996415024,47.500000000000135,47.74442716778673,48.02504946495476,48.34568756120778,48.70820817616864,49.11078451229184,49.54601742806095,50.0
45.0,45.031017471256,45.06201398536327,45.092970501516476,45.123871840255376,45.154708684462065,45.18547966059418,45.21619351858894,45.24687141892119,45.27754931925345,45.3082804286094,45.33913766154742,45.37021597649349,45.401634421213686,45.4335376384981,45.466096517856855,45.499507636260596,45.533991146330465,45.569786884411116,45.60714871469706,45.64633749127213,45.687613430846554,45.731229003100246,45.7774235327864,45.82642057647106,45.87842895761646,45.93364825882463,45.99227955787777,46.054542077825644,46.1206959727737,46.191070576605235,46.266096296464674,46.34633752611046,46.432524184804244,46.52558084023215,46.62665392593039,46.73713832182523,46.858704051492936,46.99332193843785,47.14328359687583,47.31120566491715,47.500000000000156,47.71278003585003,47.952659206191946,48.2223843330753,48.523746877665765,48.85675247981135,49.218641591041745,49.60306819705421,50.0
45.0,45.0349392744276,45.069848726100155,45.10470062570764,45.13947146970462,45.174144189935866,45.20871047756087,45.24317325466349,45.27754931925344,45.31187217481971,45.34619503038599,45.38059391640675,45.41517080066336,45.45005650244012,45.485413092680304,45.52143534213267,45.55835066569277,45.59641696140713,45.63591783469735,45.677155014574225,45.72043833838014,45.766074395434174,45.81435548691234,45.865550648579415,45.91990008371161,45.977613934912654,46.03887625126031,46.10385524052714,46.17272104975084,46.245671850212446,46.32296749857077,46.40496766234499,46.492169208734985,46.58523770332829,46.685030624043044,46.792612981695605,46.90926738831857,47.03649982193383,47.176039899085836,47.329830873990545,47.50000000000022,47.688794335083216,47.89846093720789,48.13104528805573,48.388081783488715,48.67016313656864,48.976413274369214,49.303961175009555,49.64761376911416,50.0
